"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"C11orf57",1409.08637210682,-0.622384802327679,0.0779033463568456,-7.98919213915114,1.35825863574705e-15,1.05292523491351e-13,"Tidak Signfikan","Tidak Signifikan"
"TAGAP",512.376230428197,0.891888517567701,0.111729476314285,7.98257135886769,1.43315903862232e-15,1.10460321074506e-13,"Tidak Signfikan","Tidak Signifikan"
"EIF1",8688.06563369031,0.399592155947312,0.050117672926671,7.97307880858654,1.54769410257329e-15,1.18606432054917e-13,"Tidak Signfikan","Tidak Signifikan"
"CSGALNACT2",2229.76889224818,0.537121531745385,0.0674251488274864,7.96618978357261,1.63641565313968e-15,1.24693013206001e-13,"Tidak Signfikan","Tidak Signifikan"
"SNRNP70",9068.7294906803,0.37906535286926,0.047589703690785,7.96528079544779,1.64849013866698e-15,1.24903396890751e-13,"Tidak Signfikan","Tidak Signifikan"
"BRCA1",3307.85721935416,-0.496271102165287,0.0623464201333416,-7.95989731413451,1.72182113717962e-15,1.29726647588291e-13,"Tidak Signfikan","Tidak Signifikan"
"CHST11",8238.95393363653,0.39041304199615,0.0491459569148551,7.94395035735161,1.95841997544649e-15,1.46728325646441e-13,"Tidak Signfikan","Tidak Signifikan"
"ARL4C",4133.95806121615,0.434447106397226,0.0548307335041997,7.92342320870009,2.31059478166058e-15,1.72152147871389e-13,"Tidak Signfikan","Tidak Signifikan"
"MID1IP1",3457.25565715044,0.496892776387832,0.0627641073519537,7.91683013352638,2.43642247784413e-15,1.80524098620816e-13,"Tidak Signfikan","Tidak Signifikan"
"AMH",532.150152670517,-1.01785101585839,0.128913065260589,-7.89563892380397,2.88831749741738e-15,2.12830911856398e-13,"Signifikan","Turun"
"SSFA2",4958.315524706,0.451426227723188,0.0573634417201597,7.86958059325335,3.5583212477101e-15,2.60768558759782e-13,"Tidak Signfikan","Tidak Signifikan"
"ARF1",10407.4035219086,0.366823015232366,0.0467934596043177,7.83919415948716,4.53446953109798e-15,3.3049875479106e-13,"Tidak Signfikan","Tidak Signifikan"
"STXBP1",3005.11867070094,0.502396093866437,0.0642041798603244,7.82497486860505,5.07758338371092e-15,3.68083625724039e-13,"Tidak Signfikan","Tidak Signifikan"
"MANF",1450.14950142116,0.593324405302049,0.0760379453842513,7.80300417513564,6.04505491669242e-15,4.35861459611624e-13,"Tidak Signfikan","Tidak Signifikan"
"PPIL4",959.24206668737,0.693839002242255,0.0890941115736623,7.78770886186563,6.82351864816559e-15,4.89359404227534e-13,"Tidak Signfikan","Tidak Signifikan"
"C6orf62",4743.75230567154,-0.428746944053478,0.0551076114090451,-7.78017651447519,7.24234263564224e-15,5.16633282375522e-13,"Tidak Signfikan","Tidak Signifikan"
"JUND",2616.67581450891,0.545496179623426,0.0701496166522964,7.77618190456026,7.47462056481559e-15,5.30381674046253e-13,"Tidak Signfikan","Tidak Signifikan"
"BAIAP2-AS1",580.978228998485,-0.876207712027874,0.112758548281703,-7.77065442381233,7.8081655905884e-15,5.51133203870426e-13,"Tidak Signfikan","Tidak Signifikan"
"PTPN6",1553.44273028786,0.581427727240139,0.0749726578633425,7.7551969452643,8.82064787846797e-15,6.19338788995466e-13,"Tidak Signfikan","Tidak Signifikan"
"BTN2A1",1094.99110697016,0.658787942405119,0.0849787155574761,7.7523876194568,9.01806159950955e-15,6.29902208911576e-13,"Tidak Signfikan","Tidak Signifikan"
"GPR125",1153.46421407899,-0.64970060090529,0.0838327948000948,-7.749957548887,9.1923273894839e-15,6.38747681970821e-13,"Tidak Signfikan","Tidak Signifikan"
"SDE2",1756.53432624207,0.598693224604003,0.0775072885829016,7.7243474200964,1.12427818913784e-14,7.77200762604515e-13,"Tidak Signfikan","Tidak Signifikan"
"SLC3A2",3729.26305471611,0.546027271703072,0.0707291099491777,7.71997939879944,1.16348509154559e-14,8.00179413472716e-13,"Tidak Signfikan","Tidak Signifikan"
"RPPH1",77.226058121994,3.26550765220078,0.424228979872781,7.69751197379314,1.38741092630703e-14,9.49314690444057e-13,"Signifikan","Naik"
"DHFR",2399.98577014739,-0.512428996549386,0.0666320621192442,-7.69042680432654,1.46645005155683e-14,9.98302621392318e-13,"Tidak Signfikan","Tidak Signifikan"
"DYNC1LI1",1368.54426841703,0.586808485804241,0.0764946229951238,7.67123835412128,1.70343662807528e-14,1.15377720298574e-12,"Tidak Signfikan","Tidak Signifikan"
